# This sample CSV file is provided by Sample-Files.com. Visit us for more sample files and resources.
"ID","Name","Description","Comments","StartDate","EndDate"
"1","Name_1","Description, with comma 1","Comment with special characters, and commas 1","2020-01-01","2021-01-01"
"2","Name_2","Description, with comma 2","Comment with special characters, and commas 2","2020-01-02","2021-01-02"
"3","Name_3","Description, with comma 3","Comment with special characters, and commas 3","2020-01-03","2021-01-03"
"4","Name_4","Description, with comma 4","Comment with special characters, and commas 4","2020-01-04","2021-01-04"
"5","Name_5","Description, with comma 5","Comment with special characters, and commas 5","2020-01-05","2021-01-05"
"6","Name_6","Description, with comma 6","Comment with special characters, and commas 6","2020-01-06","2021-01-06"
"7","Name_7","Description, with comma 7","Comment with special characters, and commas 7","2020-01-07","2021-01-07"
"8","Name_8","Description, with comma 8","Comment with special characters, and commas 8","2020-01-08","2021-01-08"
"9","Name_9","Description, with comma 9","Comment with special characters, and commas 9","2020-01-09","2021-01-09"
"10","Name_10","Description, with comma 10","Comment with special characters, and commas 10","2020-01-10","2021-01-10"
"11","Name_11","Description, with comma 11","Comment with special characters, and commas 11","2020-01-11","2021-01-11"
"12","Name_12","Description, with comma 12","Comment with special characters, and commas 12","2020-01-12","2021-01-12"
"13","Name_13","Description, with comma 13","Comment with special characters, and commas 13","2020-01-13","2021-01-13"
"14","Name_14","Description, with comma 14","Comment with special characters, and commas 14","2020-01-14","2021-01-14"
"15","Name_15","Description, with comma 15","Comment with special characters, and commas 15","2020-01-15","2021-01-15"
"16","Name_16","Description, with comma 16","Comment with special characters, and commas 16","2020-01-16","2021-01-16"
"17","Name_17","Description, with comma 17","Comment with special characters, and commas 17","2020-01-17","2021-01-17"
"18","Name_18","Description, with comma 18","Comment with special characters, and commas 18","2020-01-18","2021-01-18"
"19","Name_19","Description, with comma 19","Comment with special characters, and commas 19","2020-01-19","2021-01-19"
"20","Name_20","Description, with comma 20","Comment with special characters, and commas 20","2020-01-20","2021-01-20"
"21","Name_21","Description, with comma 21","Comment with special characters, and commas 21","2020-01-21","2021-01-21"
"22","Name_22","Description, with comma 22","Comment with special characters, and commas 22","2020-01-22","2021-01-22"
"23","Name_23","Description, with comma 23","Comment with special characters, and commas 23","2020-01-23","2021-01-23"
"24","Name_24","Description, with comma 24","Comment with special characters, and commas 24","2020-01-24","2021-01-24"
"25","Name_25","Description, with comma 25","Comment with special characters, and commas 25","2020-01-25","2021-01-25"
"26","Name_26","Description, with comma 26","Comment with special characters, and commas 26","2020-01-26","2021-01-26"
"27","Name_27","Description, with comma 27","Comment with special characters, and commas 27","2020-01-27","2021-01-27"
"28","Name_28","Description, with comma 28","Comment with special characters, and commas 28","2020-01-28","2021-01-28"
"29","Name_29","Description, with comma 29","Comment with special characters, and commas 29","2020-01-29","2021-01-29"
"30","Name_30","Description, with comma 30","Comment with special characters, and commas 30","2020-01-30","2021-01-30"
"31","Name_31","Description, with comma 31","Comment with special characters, and commas 31","2020-01-31","2021-01-31"
"32","Name_32","Description, with comma 32","Comment with special characters, and commas 32","2020-02-01","2021-02-01"
"33","Name_33","Description, with comma 33","Comment with special characters, and commas 33","2020-02-02","2021-02-02"
"34","Name_34","Description, with comma 34","Comment with special characters, and commas 34","2020-02-03","2021-02-03"
"35","Name_35","Description, with comma 35","Comment with special characters, and commas 35","2020-02-04","2021-02-04"
